Datum,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2020-02-24,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16
2020-02-25,1,14,0,0,0,0,2,0,0,1,0,0,0,0,0,0,18
2020-02-26,3,14,0,0,0,0,2,0,0,2,0,0,0,0,0,0,21
2020-02-27,6,14,0,0,0,0,2,0,0,4,0,0,0,0,0,0,26
2020-02-28,10,15,0,0,0,0,2,0,0,25,0,0,0,0,1,0,53
2020-02-29,14,15,0,0,0,0,5,0,0,30,1,0,0,0,1,0,66
2020-03-01,15,19,0,0,1,1,10,0,1,66,2,0,0,0,2,0,117
2020-03-02,19,25,1,0,1,1,12,0,1,86,2,0,0,0,2,0,150
2020-03-03,28,37,3,1,2,2,12,0,2,103,2,0,1,0,2,1,196
2020-03-04,50,48,7,1,3,3,12,4,7,115,7,1,1,0,2,1,262
2020-03-05,73,70,13,1,3,5,14,4,18,181,8,1,1,0,7,1,400
2020-03-06,96,117,19,2,4,11,16,5,18,329,10,2,2,0,7,1,639
2020-03-07,170,134,28,2,4,13,17,5,19,373,13,3,4,0,8,2,795
2020-03-08,182,172,40,4,4,13,19,8,21,398,19,4,7,0,9,2,902
2020-03-09,204,256,48,6,4,17,26,10,38,484,17,6,12,0,9,2,1139
2020-03-10,237,314,48,9,4,29,35,13,49,484,25,7,22,7,9,4,1296
2020-03-11,277,366,90,24,21,48,48,17,75,484,25,14,26,15,27,10,1567
2020-03-12,454,500,137,30,38,88,99,23,129,688,52,14,45,27,31,14,2369
2020-03-13,454,558,174,44,42,99,148,33,230,936,102,40,83,42,48,29,3062
2020-03-14,569,681,216,61,50,158,203,45,253,1154,121,40,93,45,60,46,3795
2020-03-15,827,886,265,84,53,162,286,50,287,1407,168,32,130,47,103,51,4838
2020-03-16,1105,1067,300,94,56,260,342,51,391,1541,325,85,140,77,123,55,6012
2020-03-17,1479,1109,345,73,57,310,373,45,325,2105,442,75,182,58,127,51,7156
2020-03-18,1609,1243,391,92,69,358,432,56,478,2372,474,88,198,105,159,74,8198
2020-03-19,2155,1692,573,134,80,432,682,98,669,3033,637,99,275,140,202,98,10999
2020-03-20,2746,2401,731,192,121,586,813,131,803,3497,801,146,394,180,266,149,13957
2020-03-21,3668,2960,866,254,142,587,1080,165,1023,3542,938,187,567,188,308,187,16662
2020-03-22,3807,3650,1024,274,165,872,1175,172,1306,3545,1053,187,606,211,347,216,18610
2020-03-23,3811,4892,1077,288,170,943,1347,172,1483,5615,1177,200,653,212,383,249,22672
2020-03-24,5348,5754,1220,343,183,1043,1620,199,1764,6318,1370,337,811,321,478,327,27436
2020-03-25,6069,6558,1428,429,200,1262,1754,218,2140,7197,1591,403,959,375,577,394,31554
2020-03-26,7283,7993,1656,477,211,1265,2157,244,2347,7924,1816,433,1141,418,675,468,36508
2020-03-27,8161,9481,1955,537,241,1693,2323,259,2810,9235,1971,505,1305,458,812,542,42288
2020-03-28,9781,11150,2161,645,260,1765,2604,308,3150,10607,2212,550,1432,458,915,584,48582
2020-03-29,9794,12881,2360,721,275,1846,2605,348,3450,11400,2396,560,1617,592,1005,697,52547
